userId,correlation
301,0.12479906517911284
597,0.10263065929063597
414,0.10134803449460493
477,0.09921664240127377
57,0.09907007791369316
369,0.09829454350405911
206,0.09685159012411959
535,0.0964929268754497
590,0.09519062577565068
418,0.09415261937134727
120,0.09277002084064997
75,0.09198682608990642
577,0.08939600270877897
198,0.08888293681851803
160,0.08813345937631115
226,0.08806819064066894
266,0.0860639123418882
312,0.08601683283327502
19,0.08524936991624152
135,0.08467233416949069
484,0.08435021511783357
469,0.08418439370772264
72,0.08361348430090111
593,0.08240267817006958
44,0.08139997754605051
297,0.08083864108178317
434,0.07836139212458007
483,0.07808534471356414
449,0.07763077332194689
552,0.07762991304118529
171,0.07724127461604942
199,0.07690534809234846
45,0.07648944114892392
608,0.07522384570971513
494,0.07354355468623001
116,0.07332924740983984
450,0.07201440958953789
201,0.07191344053044538
387,0.07141844699540953
173,0.0713166382752505
600,0.06952823497926462
513,0.06921282341460665
524,0.06920780190284008
368,0.06917868418427532
555,0.06850660723364466
180,0.06751617012474227
445,0.0673293464871071
20,0.06699047388428932
307,0.06678167251690158
480,0.06639495375844602
