pca_1,pca_2,cluster
-1.6836487915335967,-1.0722414849702824,0
-1.1340849338928733,2.509149806907927,4
0.9693949881955953,-0.38357690259020444,1
-0.8882203933584536,0.004648422505490306,0
-1.6000209527055862,-0.6837952385254024,0
0.25296133640780716,-0.7763781138146596,1
6.350168698529906,-0.7045601665736897,2
0.2760802328972654,-1.2881453645406122,1
-0.44216972843857355,-0.4594962408531706,1
-0.5638290416090295,-0.36672094793050325,0
0.5412243386462222,-1.309473844454396,1
-0.6860707804980907,-0.7836631362346027,1
1.9785453477493224,-1.3236240584287375,1
1.5592611874235118,-0.8806174603109731,1
-1.586504612885382,0.23823479574699644,0
0.7952326246689948,1.8483049587987783,4
-2.095808186439573,0.9594123107442608,0
-0.9590851980608458,-1.5757743967185436,1
0.5009050066538854,-0.09518659540234815,1
0.7978026846707673,0.06168003620584392,1
-0.12716607339797592,-0.05405362637439073,1
5.528002479957899,1.7343578704202738,2
0.41506038605747414,-1.7388763867301769,1
2.8075028959807544,3.694182760548333,4
-1.4207512147115355,1.9315859216501028,0
0.16263382463230058,-1.6310025262215877,1
-1.4420878020444876,0.4354277730966401,0
-0.05063148606448498,-1.7705273031474398,1
-0.005996130748907182,4.131105025478635,4
-0.7716181604000305,-0.8628181368044049,0
3.7644917021812194,4.2939890605459485,4
1.409325389937779,-0.6867292166929531,1
-0.5644573526646794,2.1393114843229792,4
0.3724880034661838,-1.4611912881391784,1
2.032723142172891,1.426967735433518,2
-1.7597171841358081,-0.17472485614038127,0
-1.4149648379145332,5.479818456347458,4
1.8466985644507365,1.2535500981384864,2
-0.9517340961140657,3.1478065910106645,4
0.6684435451586869,3.512300750781142,4
-1.7522811093257191,0.7081708723651107,0
0.44741759382815766,0.6536245138816832,1
-1.1120842562344013,0.3099857461701568,0
-1.812703566641051,0.017368236168957777,0
1.8916858128709726,-0.08378939644855014,2
-0.8932037348736028,-0.1295837374661958,0
-1.795788435290722,-0.7379576069610589,0
-1.798102040086007,2.0318175543786388,0
3.5428746842883942,-2.0131517171139683,2
-1.0852504706414128,-0.12049399253675154,0
0.36880812479481584,7.147456036312234,4
1.5428992982206549,-0.832333987658264,1
-1.725547736609642,0.47628217001157763,0
0.47014262044858357,-0.10395588073005,1
-0.7346705448951739,-1.65415329865547,1
-0.47160410677487885,-0.35189220344516436,0
-1.1229456614168578,1.2646224786487512,0
4.007176261101993,0.05864977780490474,2
-1.5738471521393138,0.8910006226549103,0
